aerobic capacity,NCT01125436
treatment of cutaneous leishmaniasis in brazil,NCT00600548
haemodialysis induced symptom,NCT01620580
adverse effect of contact lens solution,NCT00636194
excessive daytime sleepiness,"NCT00620659,NCT01800045"
coagulopathic bleeding,NCT01300286
cvd,"NCT01163604,NCT01255852"
adenomatous polyps,"NCT01184781,NCT01214031,NCT01415817,NCT01476631,NCT01638091"
acute hiv infection,NCT01369056
prostatic adenocarcinoma,"NCT01431391,NCT01542021"
dupuytrens contracture,NCT01407068
cyp3a phenotyping,NCT01110291
hyperbilirubinemia neonatal,"NCT01169740,NCT01330667,NCT01762189,NCT01763632"
malignant pleural effusion,"NCT01997190,NCT00052338,NCT00118183,NCT01125124,NCT01411202"
breast cancer patients,NCT01091584
dystonic cerebral palsy,NCT01361373
gastric banding,NCT01597531
postmenopausal women with moderate vasomotor symptoms,NCT01116310
leukoplakia oral,NCT01636544
stage iiia rectal cancer,"NCT00060411,NCT01726296,NCT01787409"
feeding disorder,"NCT01441674,NCT01569633"
avnrt,NCT01426425
influenza a virus h1n1 subtype,"NCT00971425,NCT01100294"
infarction,"NCT01749358,NCT01823185"
length of icu stay,NCT01317095
bracket failure rate,NCT01782521
gynoid lipodystrophy,NCT01671839
upper back pain,NCT01562548
cancer malignancies,NCT01700959
mediastinal or intra abdominal lymphadenopathy,NCT01213290
non cholera patients,NCT01259765
deep brain stimulation,NCT01274832
childhood burkitt lymphoma,"NCT00005803,NCT00014235,NCT00040846,NCT01760655"
age 18 years,NCT01622959
diabetes,"NCT02071498,NCT01822717,NCT02022111,NCT00313313,NCT00327015,NCT00394407,NCT00410436,NCT00598871,NCT00770367,NCT00803777,NCT00804596,NCT00923975,NCT01079403,NCT01087086,NCT01092390,NCT01101204,NCT01101867,NCT01105923,NCT01107717,NCT01120444,NCT01137058,NCT01140438,NCT01145534,NCT01147276,NCT01155050,NCT01156974,NCT01160991,NCT01162876,NCT01170039,NCT01175486,NCT01192373,NCT01217307,NCT01219400,NCT01224548,NCT01238380,NCT01239550,NCT01248286,NCT01265537,NCT01270061,NCT01274364,NCT01275027,NCT01275820,NCT01277432,NCT01282957,NCT01288300,NCT01289587,NCT01291719,NCT01300338,NCT01313949,NCT01323348,NCT01323075,NCT01326130,NCT01333514,NCT01342263,NCT01348867,NCT01350388,NCT01360697,NCT01361594,NCT01363284,NCT01368536,NCT01373489,NCT01379170,NCT01387425,NCT01387659,NCT01391585,NCT01394887,NCT01399489,NCT01401517,NCT01411930,NCT01414660,NCT01427998,NCT01453413,NCT01472809,NCT01473329,NCT01478672,NCT01479075,NCT01479062,NCT01480791,NCT01480804,NCT01481623,NCT01485913,NCT01486290,NCT01501201,NCT01503892,NCT01510223,NCT01515930,NCT01517919,NCT01524874,NCT01552213,NCT01556880,NCT01557907,NCT01562782,NCT01564719,NCT01567033,NCT01575080,NCT01577719,NCT01587599,NCT01588418,NCT01599143,NCT01615081,NCT01618409,NCT01631084,NCT01631643,NCT01633762,NCT01645696,NCT01647438,NCT01653899,NCT01654172,NCT01663298,NCT01681173,NCT01690208,NCT01692002,NCT01701557,NCT01702311,NCT01705639,NCT01724515,NCT01725815,NCT01728467,NCT01740817,NCT01747356,NCT01753024,NCT01754415,NCT01766570,NCT01767012,NCT01775878,NCT01778751,NCT01781013,NCT01781754,NCT01801150,NCT01814267,NCT01816997,NCT01828528,NCT01829464,NCT01831154,NCT00184600,NCT00214474"
lupus,NCT01642706
thoracic neoplasms,NCT00437372
central sleep apnea,NCT01124370
stage iva squamous cell carcinoma of the oropharynx,"NCT01824823,NCT00063895,NCT00088907,NCT00114283,NCT01674374,NCT01696955,NCT01711541,NCT01810913,NCT01816984"
polyp,NCT01735266
discharge self management,NCT01565785
general anesthesia with laryngeal mask airway lma,NCT01407302
return of bowel activity,NCT01717222
cryopyrin associated periodic syndromes,NCT01576367
gist and cml,"NCT01735955,NCT01742299"
diphtheria,"NCT00489970,NCT00835237,NCT00871117,NCT01311557,NCT01346293,NCT01357720,NCT01362517,NCT01439165,NCT01659996,NCT01689324"
selective mutism,NCT00554749
relapsed peripheral t cell lymphoma,NCT01482962
reduction in heavy drinking in patients with hiv,NCT01227044
depression in traumatic brain injury,NCT01223001
autism spectrum disorders,"NCT01154894,NCT01184235,NCT01250938,NCT01322022,NCT01337687,NCT01366859,NCT01417026,NCT01501058,NCT01614275,NCT01694667,NCT01706523,NCT01780090,NCT01800539"
stress related disorder,NCT01331759
relapsing remitting multiple sclerosis,"NCT01805336,NCT01450124,NCT00289978,NCT00337779,NCT01285401,NCT01307332,NCT01417273,NCT01428726,NCT01466114,NCT01498887,NCT01534182,NCT01541618,NCT01564511,NCT01578785,NCT01709812,NCT01808885"
congestive heart failure,"NCT00095238,NCT00108251,NCT00289276,NCT01074099,NCT01105572,NCT01105923,NCT01148563,NCT01156974,NCT01226563,NCT01251185,NCT01270750,NCT01270568,NCT01299324,NCT01326650,NCT01337349,NCT01369407,NCT01373775,NCT01375361,NCT01385176,NCT01399801,NCT01446536,NCT01474486,NCT01480921,NCT01501331,NCT01522378,NCT01619098,NCT01636570,NCT01640639,NCT01735916,NCT01741480,NCT01757067,NCT01822912,NCT01819870,NCT01823887,NCT00149227,NCT00181155"
cerebral hypoxia,NCT01432184
stage i mantle cell lymphoma,"NCT01805037,NCT00040846,NCT01273766"
elbow pain,NCT01308463
recurrent disease,NCT01794845
patients with previously untreated metastatic squamous non small cell lung cancer,NCT01752023
healthy volunteer,"NCT01269762,NCT01275300,NCT01284959,NCT01346670,NCT01363934,NCT01408316,NCT01416350,NCT01462669,NCT01629901,NCT01634191,NCT01821144"
in vitro fertilisation patients,NCT01814657
dna virus infections,NCT01183611
stage iv breast cancer,"NCT01806675,NCT00025584,NCT00055861,NCT00063934,NCT00031681,NCT00095888,NCT00096434,NCT00016276,NCT00132002,NCT01307891,NCT01349088,NCT01355393,NCT01385280,NCT00003440,NCT00098605,NCT01463072,NCT00004888,NCT01487954,NCT01672684,NCT01705340,NCT01720602,NCT01729884,NCT01730729,NCT01730833,NCT01741597,NCT01783756,NCT01787409,NCT01791478"
neisseria gonorrhoeae infection,NCT01329588
neurological diseases,"NCT01371097,NCT01783769"
rupture of achilles tendon,NCT01785264
objective goal,NCT01650272
ttr mediated amyloidosis,NCT01617967
vertebral bony metastases,NCT01409720
health behavior,"NCT01116115,NCT01169922,NCT01170260,NCT01249989,NCT01266798,NCT01365026,NCT01415492,NCT01433679,NCT01575262,NCT01622686,NCT01699958,NCT01775787,NCT01799447,NCT01821222"
adult teratoma,NCT01808534
chlamydia trachomatis infection,NCT01631201
study part iv patients with type 2 diabetes,NCT01474161
total hip replacement,NCT01228162
medication reconciliation,"NCT01179867,NCT01195051"
childhood overweight,NCT01281436
bacterial infection,"NCT01817075,NCT01156077,NCT01244698,NCT01271998,NCT01485705,NCT01611740"
chest wall disorders,NCT01560741
acute coronary disease,NCT00335452
leukemia myelogenous chronic,NCT01720264
arthrosis of the knee,NCT01637051
wound complications,NCT01211600
esophageal high grade intraepithelial neoplasia,NCT01733719
chronic radiation proctitis,NCT01613534
chronic total occlusion cto,NCT01435031
tight glycemia control,NCT01548963
cardiac output low,NCT01826253
laparoscopic cholecystectomy,"NCT01046071,NCT01143025,NCT01182545,NCT01247857,NCT01248819,NCT01267916,NCT01269099"
socket healing,NCT01431131
matrix m,NCT01669512
medication overuse headache,NCT01317992
stage iv colorectal cancer,"NCT01074385,NCT01271582"
injury in the home,"NCT01327092,NCT01740622"
sprain,NCT01134653
aids related primary cns lymphoma,"NCT00025415,NCT00003970"
functional abdominal pain,"NCT01118988,NCT01498666,NCT01675050"
wrinkles in frontal area,NCT00989768
allogeneic stem cell transplant,NCT01336478
bacterial skin diseases,NCT00719810
type 2 diabetic male with hypogonadotrophic hypogonadism,NCT00467987
postoperative dental pain,NCT00694369
stage iv solid tumor diseases,NCT01323309
imatinib,NCT01216085
heavy mhs use,NCT01356069
carcinoma midline,NCT01587703
breast carcinoma,"NCT01462903,NCT00183963,NCT01655004"
alpha 1 at deficiency,NCT01455298
head and neck cancer,"NCT00003040,NCT00004604,NCT00040911,NCT00089297,NCT00027534,NCT00096174,NCT00099021,NCT00100789,NCT00103259,NCT00122460,NCT00310115,NCT00352105,NCT00405405,NCT00425750,NCT00437372,NCT00571558,NCT00617734,NCT00620295,NCT00622674,NCT00703638,NCT00827164,NCT00939627,NCT01013831,NCT01054625,NCT01075828,NCT01111942,NCT01124500,NCT01124409,NCT01160302,NCT01167179,NCT01171924,NCT01173172,NCT01183065,NCT01184482,NCT01185171,NCT01212627,NCT01264328,NCT01269190,NCT01275183,NCT01291095,NCT01310179,NCT01312493,NCT01326468,NCT01332682,NCT01184027,NCT01345084,NCT01355926,NCT01384799,NCT01405846,NCT01412229,NCT00017173,NCT01456143,NCT01467115,NCT01472653,NCT01488682,NCT01504815,NCT01506427,NCT01509430,NCT01520701,NCT01548846,NCT01553032,NCT01581970,NCT01587820,NCT01592721,NCT01596933,NCT01598402,NCT01612351,NCT01645748,NCT01661062,NCT01647425,NCT01649583,NCT01652456,NCT01663246,NCT01668849,NCT01688323,NCT01697891,NCT01716195,NCT01721525,NCT01818323,NCT01804205"
syndrome obstructive sleep apnea,NCT01796925
epistaxis,"NCT01408732,NCT01485224"
oropharyngeal squamous cell carcinoma,NCT01819480
mitochondrial diseases,NCT01370447
advanced hepatocarcinoma,NCT01418729
hyaluronate,NCT01185444
diffusion weighted mri,NCT01226264
combat stress disorders,NCT01680419
restrictive hypertrophic scar,NCT01564407
ph acute lymphoblastic leukemia all,NCT01207440
colonoscopy diagnostic techniques and procedures,NCT01341847
hemodialysis,"NCT00663403,NCT01098149,NCT01104909,NCT01173718,NCT01271881"
progressive hairy cell leukemia initial treatment,"NCT01805037,NCT00025415,NCT00040846,NCT01727102"
enteral tube placement,NCT01407991
inborn errors of bile acid synthesis,NCT01115582
new onset postoperative atrial fibrillation,NCT01247974
lifestyle,NCT01560806
relapsedrefractory sarcomas,NCT01294670
complex regional pain syndromes,NCT00689585
cerebral amyloid angiopathy,NCT01821118
ruptured anterior cruciate ligaments,NCT01245400
diabetes ketoacidosis,NCT01099618
episodic migraine,NCT01257893
hpv induced cancers,NCT01462838
advanced hematologic malignancies,NCT01344707
brain mass,"NCT01668082,NCT01733173"
anti infecting agents local,NCT01270776
b8f9fb57a1b4efa2c731f0f708b434be,NCT01310296
amino acid,NCT01540773
invasive bladder cancer,NCT01458847
diffuse intrinsic pontine glioma dipg,NCT01688401
type ii diabetes,"NCT00379769,NCT01384045,NCT01564498,NCT01619332,NCT01804777"
female athlete triad,NCT01735994
gallstone,NCT01383031
dysphoric symptoms,NCT01185561
abdominal obesity,"NCT01208558,NCT01271751,NCT01271777,NCT01275469,NCT01435057,NCT01472666,NCT01577719,NCT01778712"
metastatic liposarcoma,NCT01506596
drug drug interactions,NCT01250535
non burkitt,NCT01088724
arsenical keratosis,"NCT01442727,NCT01731756,NCT01735097"
facial rhytides,NCT01299103
osteoarthritis of the hip,"NCT01501955,NCT01514318"
pancreaticoduodenectomy e04210760,NCT01759706
moderate to severe nail psoriasis,NCT01807520
acute gastroenteritis,"NCT01564290,NCT01571856,NCT01577043"
empyema,"NCT01261546,NCT01522885"
function,NCT01419314
carcinoma of the paranasal sinus,NCT01528137
muscle wasting,"NCT01372176,NCT01624792"
acute respiratory distress syndrome,"NCT01504893,NCT01239966,NCT01284452,NCT01289600,NCT01306240,NCT01326208,NCT01335932,NCT01478802,NCT01519258,NCT01522599,NCT01526382,NCT01552070,NCT01680783,NCT01731795,NCT01757899,NCT01768949,NCT01775774"
antibody deficiency,NCT01581593
otitis media with effusion,"NCT01082029,NCT01202578,NCT01421199"
seasonal allergy,NCT01731249
traumatic injuries,NCT01743703
plasma volume substitution hypovolemia including massive hemorrhage,NCT01127477
hypoactive sexual desire disorder,"NCT01235754,NCT01382719,NCT01432665,NCT01743235,NCT01803802"
impaired cognition,"NCT01324024,NCT01367236,NCT01739933,NCT01818778"
community acquired bacterial pneumonia,"NCT01168713,NCT01605864"
pediatric inflammatory bowel disease,NCT01560819
secondary malignant neoplasm of liver,"NCT00874224,NCT01423734,NCT01516710"
ischemic heart failure,NCT01643590
catecholamines,NCT01336335
monkey pox,NCT00728689
anaplastic mixed gliomas,NCT01392209
other diagnoses comorbidities and complications,NCT01624272
hydrotherapy,"NCT01253798,NCT01779661"
lipid deficiency,NCT01688726
untreated childhood oligodendroglioma,NCT02020720
delayed gastric emptying,NCT01481753
hypo unawareness,NCT01315171
decompensated cirrhosis,"NCT01326949,NCT01440829"
videolaryngoscopy,NCT01090726
stage iii prostate carcinoma,NCT01126879
drug metabolism poor cyp2d6 related,NCT01289938
osteoporosis in post menopausal women,NCT01415050
anesthesia,"NCT00124735,NCT00702715,NCT00910416,NCT01030510,NCT01136668,NCT01214369,NCT01229241,NCT01233219,NCT01233752,NCT01243593,NCT01244932,NCT01376960,NCT01467596,NCT01470898,NCT01479270,NCT01485653,NCT01499589,NCT01506284,NCT01548794,NCT01579851,NCT01579864,NCT01597427,NCT01603680,NCT01605929,NCT01631396,NCT01654913,NCT01709422,NCT01734954,NCT01757106,NCT01759589,NCT01761175,NCT01811966,NCT01824914"
stage ib malignant mesothelioma,"NCT00107432,NCT01503177"
optic nerve injuries,"NCT01270126,NCT01280877"
more active treatments were used in clinical practice,NCT01409499
care coordinator,NCT01587105
postoperative pain management,"NCT01242332,NCT01344213,NCT01726686,NCT01736358"
alphavirus infections,NCT01080989
peritoneal neoplasm,NCT00004547
lumbar spinal stenosis,"NCT01338766,NCT01455805"
hpv,"NCT00569231,NCT01431079,NCT01512784,NCT01663259"
conjunctivitis bacterial,NCT01721694
pharmacokinetics of s and r warfarin,NCT01657825
fatigue syndrome chronic,NCT01318356
pentoxiphylline,NCT01472263
health related quality of life,"NCT01253486,NCT01573806,NCT01587105"
pharmacologic actions,NCT01121510
oral cavity tumor,NCT01198119
treatment as usual,NCT01732055
antiretroviral treatment outcomes,NCT01387022
trifunctional protein deficiency,NCT01494051
night sweats,"NCT01429636,NCT01464697"
occlusive thrombus,NCT01383785
down syndrome ds,NCT01699711
risk behaviors,NCT01624298
3 followed in west indies and french guiana for his infection,NCT01226368
advancedmetastatic neuroendocrine tumors,NCT01280201
ischemic optic neuropathy,NCT01607671
alopecia universalis,NCT01167946
hodgkin lymphoma,"NCT00002561,NCT00145600,NCT01217229,NCT01221571,NCT01263899,NCT01271127,NCT01333046,NCT01453504,NCT01447056,NCT01487031,NCT01492088,NCT01523847,NCT01534078,NCT01592370,NCT01597778,NCT01611298,NCT01634217,NCT01764230,NCT01768845,NCT01820117"
malignant childhood neoplasm,NCT01803672
pain crisis,NCT01119833
not applicable as this is a mass balancepharmacokinetic study performed in healthy subjects,NCT01783964
immunization delivery in obstetrics and gynecology settings,NCT01565135
stunting of growth,"NCT01258647,NCT01282788"
type 1 dm,NCT01236365
thromboangiitis obliterans,NCT01447550
abrasion of soft palate,NCT01609101
stage iii breast cancer,NCT01831076
low vision,"NCT01217502,NCT01282827"
parathyroid disease,NCT01574287
refractory solid tumor,NCT00110357
neurofibromatosis,"NCT01140360,NCT01275586,NCT01402817,NCT01673009"
metabolic response to dietary modification,NCT01631123
autoimmune autonomic ganglionopathy aag,NCT01522235
infant respiratory distress syndrome,NCT00296231
nodular goiter,NCT01761149
functional gastrointestinal disorder,NCT01287286
primary angle closure glaucoma,NCT01301378
dental implant surface treatment,NCT01699568
chemotherapy induced thrombocytopenia,"NCT00283439,NCT00413283"
neonatal necrotizing enterocolitis,NCT01729000
children with relapsed solid tumor lymphoma or leukemia,NCT01422499
hematopoetic stem cell transplantation,NCT01575704
metastatic ewing sarcomaperipheral primitive neuroectodermal tumor,"NCT01795430,NCT01825902"
intraoperative blood loss,NCT01708642
doctor satisfaction,NCT01466140
advanced inoperable non small cell lung cancer,NCT01802632
adult supratentorial primitive neuroectodermal tumor pnet,"NCT01795430,NCT01825902"
motor neurodevelopment,NCT01201005
alcohol use,"NCT01625416,NCT01668992,NCT01679236,NCT01751672,NCT01797835"
dependency on medications prescribed for patient,NCT01831063
plaque atherosclerotic,NCT01709045
squamous cell skin carcinoma in renal transplant patients,NCT01764607
postpartum weight,NCT01096888
reaction of autonomic nervous system,NCT01665105
mania,"NCT01191918,NCT01818622"
cervix intraepithelial neoplasia,NCT01303328
acute otitis externa,"NCT01535560,NCT01535599,NCT01584271"
cml,"NCT01216085,NCT01744665"
pre syncope,NCT01382953
fracture of patella,NCT01509729
abnormal gait,NCT01629810
neurotic stress related and somatoform disorders,NCT01726387
humidity,NCT01193465
growth disorders,"NCT00125164,NCT00125190,NCT01073605,NCT01267526"
cystic fibrosis,"NCT01429259,NCT02276898,NCT00510484,NCT00662675,NCT00690820,NCT00737100,NCT00775528,NCT01092572,NCT01093521,NCT01100606,NCT01104402,NCT01112059,NCT01131507,NCT01132482,NCT01149005,NCT01155115,NCT01172301,NCT01180842,NCT01183286,NCT01192360,NCT01222273,NCT01225211,NCT01241942,NCT01241890,NCT01253733,NCT01257464,NCT01266473,NCT01270074,NCT01309178,NCT01315665,NCT01321905,NCT01325766,NCT01331980,NCT00434278,NCT01348204,NCT01349192,NCT01355796,NCT01377792,NCT01400750,NCT01417481,NCT01450267,NCT01486199,NCT01494909,NCT01509339,NCT01531673,NCT01537666,NCT01543191,NCT01576315,NCT01594827,NCT01608555,NCT01615484,NCT01658449,NCT01686672,NCT01694069,NCT01695343,NCT01702415,NCT01706445,NCT01729585,NCT01737983,NCT01772758,NCT01784419,NCT01793649,NCT01812551,NCT01822197"
